#	ID	Field	RA	Dec	z	logM	re_light	dre_light	n	dn	re_mass1	re_mass1_16	re_mass1_84	re_mass2	re_mass2_16	re_mass2_84	re_mass3	re_mass3_16	re_mass3_84	isQui
1	GOODS-S	53.093014	-27.954546	0.50	10.72	14.648	0.141	8.000	0.114	8.567	7.737	8.619	4.757	4.761	5.033	0.719	0.677	0.766	False
44	GOODS-S	53.083618	-27.952635	0.68	9.91	2.753	0.035	1.391	0.039	nan	nan	nan	1.454	1.293	1.573	nan	nan	nan	False
67	GOODS-S	53.079514	-27.948759	0.64	11.08	16.004	0.111	6.263	0.072	nan	nan	nan	8.118	6.574	7.980	nan	nan	nan	False
87	GOODS-S	53.079563	-27.950289	0.80	9.19	1.958	0.048	1.078	0.078	nan	nan	nan	nan	nan	nan	nan	nan	nan	False
92	GOODS-S	53.085117	-27.948381	0.69	9.77	5.170	0.053	0.918	0.024	nan	nan	nan	3.471	3.477	3.735	3.435	3.234	3.629	False
104	GOODS-S	53.084282	-27.946064	0.64	10.65	6.369	0.036	1.799	0.017	nan	nan	nan	nan	nan	nan	4.235	3.930	4.607	False
137	GOODS-S	53.071480	-27.947859	0.95	9.43	1.564	0.167	2.725	0.684	nan	nan	nan	nan	nan	nan	nan	nan	nan	False
152	GOODS-S	53.096558	-27.946720	0.75	9.27	2.839	0.035	0.989	0.054	nan	nan	nan	2.688	2.689	2.691	2.281	2.136	2.478	False
178	GOODS-S	53.086281	-27.945105	0.95	10.35	3.774	0.040	0.737	0.024	2.894	2.867	2.953	3.072	3.072	3.105	3.263	3.113	3.409	False
179	GOODS-S	53.076866	-27.945969	0.71	9.05	1.528	0.048	1.213	0.112	nan	nan	nan	nan	nan	nan	nan	nan	nan	False
194	GOODS-S	53.083317	-27.941093	0.65	10.15	8.035	0.072	1.256	0.021	nan	nan	nan	nan	nan	nan	6.513	6.080	7.219	False
236	GOODS-S	53.108738	-27.941774	0.53	10.46	2.585	0.027	4.730	0.089	2.354	2.185	2.360	1.984	1.895	2.019	0.143	0.135	0.152	True
259	GOODS-S	53.138020	-27.942963	0.91	9.34	3.992	0.354	2.871	1.038	4.884	3.531	6.107	3.628	3.536	3.723	1.773	1.649	1.924	False
260	GOODS-S	53.142105	-27.943308	0.84	9.32	2.609	0.070	0.790	0.120	2.439	2.312	2.536	2.464	2.408	2.482	2.600	2.242	3.170	False
263	GOODS-S	53.124348	-27.943142	0.67	9.08	1.181	0.065	1.061	0.155	1.503	1.357	1.573	1.718	1.514	1.718	1.546	1.340	1.811	False
307	GOODS-S	53.074074	-27.940521	0.35	9.79	0.650	0.006	3.724	0.071	nan	nan	nan	0.854	0.852	1.614	nan	nan	nan	True
336	GOODS-S	53.071453	-27.940586	0.78	9.87	6.336	0.065	1.187	0.026	nan	nan	nan	3.674	3.684	3.869	nan	nan	nan	False
340	GOODS-S	53.089260	-27.938042	0.66	10.52	5.864	0.053	3.059	0.051	nan	nan	nan	2.794	2.784	2.795	5.925	5.523	6.505	False
357	GOODS-S	53.094227	-27.939579	0.68	9.85	3.721	0.028	0.907	0.019	3.779	3.749	3.818	3.821	3.771	3.838	3.804	3.527	4.192	False
370	GOODS-S	53.078075	-27.940516	0.79	9.54	3.302	0.045	0.672	0.032	nan	nan	nan	nan	nan	nan	nan	nan	nan	False
408	GOODS-S	53.074146	-27.939119	0.78	9.79	1.044	0.017	3.277	0.123	nan	nan	nan	nan	nan	nan	nan	nan	nan	False
450	GOODS-S	53.092583	-27.934660	0.46	10.35	8.891	0.045	0.953	0.008	nan	nan	nan	6.536	6.546	6.597	5.055	4.742	5.390	False
456	GOODS-S	53.131786	-27.934717	0.39	10.67	3.374	0.015	3.840	0.033	nan	nan	nan	nan	nan	nan	nan	nan	nan	True
490	GOODS-S	53.129459	-27.936790	0.68	10.39	1.499	0.017	2.936	0.067	1.551	1.408	1.563	1.470	1.401	1.512	0.961	0.899	1.035	True
511	GOODS-S	53.071220	-27.936676	0.35	9.60	1.891	0.014	0.865	0.014	nan	nan	nan	0.693	0.777	1.813	nan	nan	nan	False
533	GOODS-S	53.128124	-27.937094	0.92	9.20	4.717	0.514	1.766	0.396	5.049	4.357	5.550	4.099	4.046	4.124	3.537	3.273	3.920	False
559	GOODS-S	53.090313	-27.936354	0.73	9.12	2.953	0.067	0.591	0.068	3.032	2.948	3.123	2.902	2.884	2.922	2.620	2.167	3.183	False
599	GOODS-S	53.081940	-27.933603	0.66	10.88	3.338	0.032	5.963	0.099	2.386	1.926	2.428	6.133	4.469	7.263	1.776	1.659	1.933	True
617	GOODS-S	53.067577	-27.935827	0.78	9.02	2.343	0.086	0.745	0.071	nan	nan	nan	nan	nan	nan	nan	nan	nan	False
658	GOODS-S	53.071995	-27.932487	0.29	9.52	3.488	0.046	1.881	0.036	1.537	1.234	1.568	nan	nan	nan	nan	nan	nan	False
676	GOODS-S	53.087524	-27.933565	0.77	9.49	5.440	0.207	1.278	0.105	4.751	4.526	5.059	4.768	4.701	4.786	5.236	4.885	5.734	False
684	GOODS-S	53.074242	-27.933708	0.66	9.28	4.211	0.115	1.065	0.064	2.492	2.405	2.589	1.438	1.329	2.329	nan	nan	nan	False
