# ID	logM	SFR	SFR_err	logM_gas	logM_gas_err	z
spec-0278-51900-0193	11.145	1.121	0.345	-99	-99	0.593
spec-0705-52200-0614	11.230	0.333	0.331	-99	-99	0.591
spec-0726-52226-0418	11.228	0.378	0.201	-99	-99	0.724
spec-0780-52370-0008	10.964	2.245	0.756	-99	-99	0.599
spec-0953-52411-0335	10.944	1.975	0.817	-99	-99	0.568
spec-0977-52410-0257	10.633	0.201	0.268	-99	-99	0.576
spec-0978-52431-0077	11.088	0.617	0.280	-99	-99	0.684
spec-0978-52441-0079	11.018	1.246	0.447	-99	-99	0.684
spec-1055-52761-0449	11.239	3.011	1.125	-99	-99	0.563
spec-1073-52649-0310	10.934	0.860	0.553	-99	-99	0.546
spec-1105-52937-0311	11.177	1.395	0.582	9.806	0.054	0.657
spec-1386-53116-0585	10.832	0.487	0.168	-99	-99	0.516
spec-1632-52996-0110	11.228	0.368	0.179	-99	-99	0.649
spec-1634-53299-0516	10.854	0.138	0.232	-99	-99	0.521
spec-1930-53347-0277	10.674	0.478	0.258	-99	-99	0.530
spec-2003-53442-0015	10.982	1.169	0.487	-99	-99	0.614
spec-2293-53730-0027	11.134	2.054	0.679	-99	-99	0.571
spec-2343-53735-0015	10.977	0.417	0.212	-99	-99	0.503
spec-2361-53762-0016	11.289	0.484	0.163	-99	-99	0.568
spec-2438-54056-0396	11.235	2.137	0.822	10.531	0.020	0.747
spec-2595-54207-0459	11.088	0.748	0.391	-99	-99	0.594
spec-2878-54465-0361	11.210	0.787	0.240	-99	-99	0.512
spec-3809-55533-0935	11.098	2.349	0.692	-99	-99	0.749
spec-3934-55336-0917	11.025	0.515	0.198	-99	-99	0.631
spec-4071-55660-0191	11.441	0.477	0.234	-99	-99	0.685
spec-4302-55531-0482	11.116	0.821	0.308	-99	-99	0.585
spec-4370-55534-0762	11.345	0.092	0.166	-99	-99	0.608
spec-4449-55544-0912	11.050	0.600	0.268	-99	-99	0.506
spec-4466-55857-0198	11.159	0.215	0.099	-99	-99	0.565
spec-4531-55563-0242	11.098	0.695	0.257	-99	-99	0.570
spec-4861-55710-0189	11.605	0.625	0.190	-99	-99	0.591
spec-4970-56039-0225	11.230	1.098	0.334	-99	-99	0.641
spec-5151-56567-0017	10.975	1.458	0.541	-99	-99	0.604
spec-5167-56066-0755	11.523	0.403	0.138	-99	-99	0.685
spec-5171-56038-0671	11.430	0.129	0.071	-99	-99	0.612
spec-5352-56269-0150	11.307	0.680	0.200	-99	-99	0.575
spec-5421-55980-0512	11.107	0.254	0.420	-99	-99	0.592
spec-5475-56011-0379	11.200	1.489	0.493	-99	-99	0.646
spec-5726-56626-0233	11.330	1.809	0.535	-99	-99	0.598
spec-5866-56035-0783	11.146	1.306	0.477	-99	-99	0.685
spec-6010-56097-0535	11.054	1.607	0.525	-99	-99	0.574
spec-6308-56215-0977	11.387	0.059	0.091	-99	-99	0.705
spec-6413-56336-0101	11.375	0.848	0.277	-99	-99	0.613
spec-6417-56308-0055	11.137	-0.154	-0.266	-99	-99	0.637
spec-6458-56274-0501	11.179	0.231	0.351	-99	-99	0.635
spec-6689-56396-0643	10.996	0.325	0.189	-99	-99	0.547
spec-6723-56428-0330	11.128	0.994	0.302	-99	-99	0.529
spec-6748-56371-0131	11.257	0.791	0.313	-99	-99	0.597
spec-6794-56448-0996	11.229	1.089	0.399	-99	-99	0.601
spec-7096-56683-0752	10.872	0.627	0.234	-99	-99	0.506
